date,addresses_nonzero_balance
2011-06-04,137908.0
2011-06-05,139517.0
2011-06-06,140995.0
2011-06-07,142298.0
2011-06-08,141883.0
2011-06-09,143991.0
2011-06-10,145958.0
2011-06-11,147544.0
2011-06-12,148957.0
2011-06-13,150704.0
2011-06-14,153046.0
2011-06-15,154938.0
2011-06-16,156871.0
2011-06-17,158812.0
2011-06-18,161816.0
2011-06-19,164521.0
2011-06-20,167893.0
2011-06-21,171885.0
2011-06-22,176028.0
2011-06-23,179304.0
2011-06-24,181761.0
2011-06-25,183964.0
2011-06-26,186121.0
2011-06-27,189450.0
2011-06-28,191796.0
2011-06-29,195235.0
2011-06-30,197436.0
2011-07-01,206116.0
2011-07-02,220662.0
2011-07-03,224584.0
2011-07-04,227531.0
2011-07-05,229489.0
2011-07-06,233058.0
2011-07-07,237422.0
2011-07-08,243086.0
2011-07-09,248420.0
2011-07-10,259385.0
2011-07-11,264015.0
2011-07-12,268864.0
2011-07-13,276133.0
2011-07-14,285560.0
2011-07-15,292275.0
2011-07-16,297214.0
2011-07-17,303742.0
2011-07-18,305524.0
2011-07-19,311055.0
2011-07-20,316322.0
2011-07-21,323098.0
2011-07-22,328209.0
2011-07-23,333526.0
2011-07-24,339249.0
2011-07-25,345794.0
2011-07-26,350088.0
2011-07-27,355933.0
2011-07-28,361953.0
2011-07-29,368085.0
2011-07-30,373894.0
2011-07-31,380535.0
2011-08-01,386541.0
2011-08-02,389094.0
2011-08-03,389785.0
2011-08-04,390403.0
2011-08-05,395878.0
2011-08-06,400628.0
2011-08-07,405965.0
2011-08-08,407368.0
2011-08-09,411968.0
2011-08-10,413063.0
2011-08-11,414186.0
2011-08-12,414583.0
2011-08-13,416977.0
2011-08-14,421134.0
2011-08-15,422297.0
2011-08-16,423324.0
2011-08-17,425994.0
2011-08-18,429744.0
2011-08-19,435468.0
2011-08-20,441040.0
2011-08-21,447444.0
2011-08-22,455111.0
2011-08-23,461401.0
2011-08-24,466809.0
2011-08-25,473137.0
2011-08-26,476317.0
2011-08-27,479233.0
2011-08-28,484402.0
2011-08-29,486993.0
2011-08-30,487646.0
2011-08-31,488312.0
2011-09-01,488558.0
2011-09-02,489144.0
2011-09-03,489802.0
2011-09-04,491345.0
2011-09-05,492960.0
2011-09-06,493209.0
2011-09-07,493775.0
2011-09-08,494191.0
2011-09-09,493236.0
2011-09-10,492087.0
2011-09-11,492572.0
2011-09-12,492732.0
2011-09-13,493288.0
2011-09-14,493677.0
2011-09-15,494139.0
2011-09-16,494524.0
2011-09-17,494897.0
2011-09-18,495444.0
2011-09-19,495700.0
2011-09-20,500476.0
2011-09-21,499509.0
2011-09-22,503133.0
2011-09-23,509674.0
2011-09-24,515659.0
2011-09-25,522557.0
2011-09-26,527713.0
2011-09-27,532711.0
2011-09-28,533275.0
2011-09-29,533819.0
2011-09-30,534150.0
2011-10-01,534251.0
2011-10-02,534586.0
2011-10-03,534992.0
2011-10-04,535401.0
2011-10-05,535958.0
2011-10-06,536014.0
2011-10-07,536371.0
2011-10-08,536752.0
2011-10-09,537377.0
2011-10-10,537839.0
2011-10-11,538543.0
2011-10-12,538976.0
2011-10-13,539700.0
2011-10-14,539553.0
2011-10-15,539999.0
2011-10-16,540189.0
2011-10-17,540432.0
2011-10-18,540885.0
2011-10-19,541102.0
2011-10-20,541589.0
2011-10-21,542210.0
2011-10-22,542811.0
2011-10-23,543564.0
2011-10-24,544020.0
2011-10-25,544808.0
2011-10-26,545191.0
2011-10-27,545591.0
2011-10-28,545698.0
2011-10-29,545990.0
2011-10-30,546342.0
2011-10-31,546748.0
2011-11-01,547484.0
2011-11-02,547810.0
2011-11-03,547982.0
2011-11-04,547512.0
2011-11-05,547751.0
2011-11-06,548400.0
2011-11-07,548837.0
2011-11-08,549058.0
2011-11-09,549534.0
2011-11-10,549960.0
2011-11-11,550083.0
2011-11-12,550331.0
2011-11-13,550914.0
2011-11-14,550914.0
2011-11-15,550813.0
2011-11-16,551009.0
2011-11-17,550919.0
2011-11-18,551286.0
2011-11-19,551531.0
2011-11-20,551092.0
2011-11-21,551549.0
2011-11-22,551838.0
2011-11-23,551997.0
2011-11-24,551961.0
2011-11-25,552597.0
2011-11-26,552991.0
2011-11-27,553623.0
2011-11-28,554245.0
2011-11-29,554778.0
2011-11-30,553732.0
2011-12-01,554933.0
2011-12-02,555806.0
2011-12-03,555666.0
2011-12-04,556493.0
2011-12-05,557445.0
2011-12-06,558285.0
2011-12-07,558993.0
2011-12-08,557364.0
2011-12-09,558071.0
2011-12-10,558346.0
2011-12-11,558096.0
2011-12-12,558287.0
2011-12-13,559745.0
2011-12-14,560252.0
2011-12-15,560632.0
2011-12-16,560981.0
2011-12-17,561302.0
2011-12-18,561881.0
2011-12-19,562244.0
2011-12-20,562406.0
2011-12-21,562746.0
2011-12-22,563313.0
2011-12-23,564307.0
2011-12-24,564926.0
2011-12-25,565638.0
2011-12-26,566626.0
2011-12-27,567329.0
2011-12-28,567593.0
2011-12-29,568201.0
2011-12-30,568603.0
2011-12-31,568666.0
2012-01-01,568982.0
2012-01-02,569342.0
2012-01-03,569063.0
2012-01-04,569427.0
2012-01-05,570049.0
2012-01-06,570214.0
2012-01-07,570427.0
2012-01-08,570773.0
2012-01-09,570634.0
2012-01-10,570746.0
2012-01-11,569709.0
2012-01-12,570235.0
2012-01-13,570729.0
2012-01-14,571432.0
2012-01-15,571678.0
2012-01-16,572339.0
2012-01-17,573070.0
2012-01-18,573809.0
2012-01-19,574440.0
2012-01-20,575217.0
2012-01-21,575636.0
2012-01-22,576164.0
2012-01-23,577003.0
2012-01-24,577569.0
2012-01-25,578282.0
2012-01-26,578779.0
2012-01-27,579211.0
2012-01-28,579785.0
2012-01-29,579350.0
2012-01-30,580205.0
2012-01-31,580957.0
2012-02-01,581563.0
2012-02-02,582249.0
2012-02-03,582907.0
2012-02-04,583075.0
2012-02-05,583417.0
2012-02-06,583676.0
2012-02-07,584024.0
2012-02-08,584775.0
2012-02-09,585722.0
2012-02-10,586054.0
2012-02-11,586146.0
2012-02-12,586454.0
2012-02-13,586828.0
2012-02-14,587290.0
2012-02-15,588278.0
2012-02-16,589327.0
2012-02-17,590085.0
2012-02-18,590969.0
2012-02-19,592302.0
2012-02-20,593422.0
2012-02-21,594121.0
2012-02-22,594749.0
2012-02-23,595468.0
2012-02-24,595992.0
2012-02-25,595680.0
2012-02-26,596389.0
2012-02-27,597199.0
2012-02-28,597559.0
2012-02-29,598343.0
2012-03-01,598582.0
2012-03-02,598613.0
2012-03-03,599163.0
2012-03-04,600435.0
2012-03-05,601262.0
2012-03-06,602063.0
2012-03-07,603293.0
2012-03-08,604290.0
2012-03-09,604681.0
2012-03-10,605357.0
2012-03-11,606110.0
